PERIODO,MES,PAIS_ORIGEN,ARANCEL,TOTAL_CIF_ITEM_US$,CANTIDAD_MERCANCIA
2015,08,ARGENTINA,85489000,732,27
2015,08,ARGENTINA,85446090,20312,23
2015,08,ARGENTINA,08062010,76512,44
2015,08,ARGENTINA,87082910,132,4
2015,08,ARGENTINA,84381020,22970,1
2015,08,ARGENTINA,07131090,19170,56000
2015,08,ARGENTINA,21039010,13024,31
2015,08,ARGENTINA,84836000,1016,3
2015,08,ARGENTINA,84819000,44327,23
2015,08,ARGENTINA,29213000,1,25
2015,08,AUSTRALIA,84669200,511,26
2015,08,AUSTRALIA,30042010,49647,49
2015,08,AUSTRALIA,84818099,14232,28
2015,08,AUSTRALIA,84879090,83,23
2015,08,AUSTRALIA,85291000,18199,4
2015,08,AUSTRALIA,07131090,19387,5
2015,08,AUSTRALIA,90158000,91313,23
2015,08,AUSTRALIA,85122030,501,4
2015,08,AUSTRALIA,90159000,37907,3
2015,08,AUSTRALIA,85181000,35799,2
2015,08,AUSTRALIA,28255000,111400,20000
2015,08,AUSTRALIA,28391900,77998,27
2015,08,AUSTRALIA,85272900,399,8
2015,08,AUSTRALIA,30049010,78088,26
2015,08,AUSTRALIA,04061090,133,56
2015,08,AUSTRALIA,85469000,1634,26
2015,08,AUSTRALIA,85361010,1193,51
2015,08,AUSTRALIA,85462000,1481,46
2015,08,AUSTRALIA,85311090,784,49
2015,08,AUSTRALIA,84799000,23506,42
2015,08,AUSTRALIA,84733000,42409,57
2015,08,AUSTRALIA,26169090,1464,2
2015,08,AUSTRALIA,30021020,90590,11
2015,08,AUSTRALIA,84314320,48552,3
2015,08,AUSTRALIA,20098990,569,2
2015,08,AUSTRALIA,84431400,744,35
2015,08,AUSTRALIA,87082990,81,16
2015,08,AUSTRALIA,85444999,1654,18
2015,08,AUSTRALIA,84678900,32115,6
2015,08,AUSTRALIA,85287220,672,4
2015,08,AUSTRALIA,22042199,85,1
2015,08,AUSTRALIA,02062200,20500,61
2015,08,AUSTRALIA,85308000,15206,62
2015,08,AUSTRALIA,85044000,1121,49
2015,08,AUSTRALIA,84849000,960,7
2015,08,AUSTRALIA,04061020,73344,2
2015,08,AUSTRALIA,87087020,22325,5
2015,08,AUSTRALIA,00198900,264,59
2015,08,AUSTRALIA,87081090,568,11
2015,08,AUSTRALIA,85189000,880,9
2015,08,AUSTRALIA,85122090,15,14
2015,08,AUSTRALIA,86079990,1795,17
2015,08,AUSTRALIA,84314310,105235,44
2015,08,AUSTRALIA,85452000,272,11
2015,08,AUSTRALIA,84314390,89000,23
2015,08,AUSTRALIA,04062000,10240,17
2015,08,AUSTRALIA,30049020,36391,5
2015,08,AUSTRALIA,85318000,317,45
2015,08,AUSTRALIA,85423200,280,1
2015,08,AUSTRALIA,84641000,14885,59
2015,08,AUSTRALIA,12099190,24,39
2015,08,AUSTRALIA,12099174,56,9
